k,m,fP
2,2250048,0.009970342028281357
3,1723282,0.009975013801195818
4,1595353,0.00996099848245243
5,1557726,0.009911166238031502
6,1570895,0.009975013801195818
7,1610403,0.009912723495669656
8,1647088,0.009959441224814278
9,1698824,0.009901822692202578
10,1749620,0.009943868648432736
11,1809822,0.009904158578659809
12,1866262,0.009975013801195818
13,1922701,0.009921288412679504
14,1982902,0.009900265434564423
15,2039341,0.009994479521672744
16,2097661,0.009964891626547817
17,2157863,0.009974235172376741
18,2219947,0.009928296072051196
19,2272624,0.009922845670317657
20,2332355,0.00996411299772874
21,2393498,0.009972677914738586
22,2449467,0.009989807748758281
23,2505907,0.00998513597584382
24,2567990,0.009994479521672744
25,2623028,0.009900265434564423
26,2675225,0.009925181556774888
27,2729664,0.009985914604662896
28,2792336,0.009973456543557664
29,2844543,0.009975013801195818
30,2897220,0.009987471862301051
31,2957422,0.00990649446511704
32,3006336,0.009920509783860425
33,3060893,0.009954769451899815
34,3117333,0.009968006141824125
35,3168129,0.009902601321021654
36,3220806,0.00997968557411028
37,3277245,0.009996036779310899
38,3334154,0.009964891626547817
39,3382598,0.009996815408129975
40,3437156,0.009967227513005049
41,3491715,0.00994309001961366
42,3533103,0.009925181556774888
43,3591424,0.009933746473784736
44,3639279,0.009910387609212425
45,3687371,0.009984357347024743
46,3741929,0.009936860989061044
47,3792725,0.009908051722755194
48,3830351,0.009933746473784736